Date,AXISBANK.NS,BAJAJHLDNG.NS,BALKRISHNA.NS,CDSL.NS,CIPLA.NS,EIDPARRY.NS,HCL-INSYS.NS,HDFCBANK.NS,ICICIBANK.NS,ICRA.NS,IEX.NS,INFY.NS,IPCALAB.NS,ITC.NS,KOTAKBANK.NS,M&M.NS,MAHSCOOTER.NS,MARUTI.NS,MCX.NS,MOTILALOFS.NS,NH.NS,POWERGRID.NS,SWARAJENG.NS,ZYDUSWELL.NS
2022-11-30,898.7061157226562,6136.22314453125,21.052812576293945,605.62744140625,1111.7777099609375,592.8106689453125,16.049999237060547,1568.791015625,929.3699951171875,4291.52001953125,141.8164520263672,1552.6583251953125,863.9302368164062,317.1368103027344,1943.3182373046875,1269.399169921875,4718.21435546875,8807.2978515625,1543.51171875,650.0108032226562,736.63623046875,150.10513305664062,1464.38525390625,1603.9080810546875
2022-12-01,901.2987670898438,6155.71875,21.01824378967285,608.2935791015625,1097.388427734375,587.4474487304688,16.049999237060547,1579.568603515625,916.9835815429688,4269.9423828125,141.96034240722656,1573.693359375,860.595947265625,316.717041015625,1930.5926513671875,1257.5860595703125,4706.4912109375,8791.595703125,1554.873046875,652.9534301757812,746.951171875,148.69790649414062,1506.44384765625,1590.7828369140625
2022-12-02,902.5950927734375,6213.71875,21.778772354125977,605.0648803710938,1087.0965576171875,594.3359985351562,16.149999618530273,1567.474365234375,907.62060546875,4276.71240234375,144.07057189941406,1555.4598388671875,864.4776611328125,314.47845458984375,1927.099365234375,1229.5360107421875,4686.2578125,8651.9404296875,1541.239501953125,653.44384765625,751.4144897460938,147.29066467285156,1502.4007568359375,1604.206298828125
2022-12-05,896.6619873046875,6099.3759765625,21.847911834716797,603.6217651367188,1088.072021484375,590.94091796875,16.950000762939453,1573.1800537109375,910.5465087890625,4304.18408203125,144.83790588378906,1557.216552734375,859.7499389648438,314.1053161621094,1934.734619140625,1224.8692626953125,4523.73388671875,8628.583984375,1550.526123046875,655.846923828125,749.232421875,148.69790649414062,1542.4144287109375,1608.43212890625
2022-12-06,902.0965576171875,6029.19189453125,20.845396041870117,600.2708129882812,1082.4625244140625,589.21875,16.799999237060547,1571.4244384765625,899.8670043945312,4333.5068359375,142.2960662841797,1531.7181396484375,853.4298095703125,314.6183166503906,1931.5408935546875,1228.029052734375,4576.490234375,8555.2724609375,1541.4864501953125,655.1112670898438,745.9098510742188,149.7700653076172,1501.7034912109375,1605.648193359375
2022-12-07,912.068359375,6058.8740234375,20.707117080688477,597.53125,1078.267822265625,588.38232421875,16.700000762939453,1570.74169921875,899.3793334960938,4298.826171875,140.23379516601562,1524.6904296875,851.1405639648438,317.2300720214844,1907.786376953125,1231.4805908203125,4529.5009765625,8498.154296875,1547.61181640625,648.5885620117188,747.2984008789062,148.12831115722656,1499.2869873046875,1584.4190673828125
2022-12-08,936.6985473632812,6019.6875,20.741687774658203,601.5181884765625,1080.4140625,578.8367309570312,16.649999618530273,1579.568603515625,908.8884887695312,4285.431640625,142.2001495361328,1538.6031494140625,847.1094970703125,315.6444091796875,1893.3641357421875,1239.015625,4544.95947265625,8521.267578125,1562.62841796875,650.599365234375,752.1583251953125,145.950439453125,1510.2083740234375,1598.687744140625
2022-12-09,931.0645141601562,6053.2197265625,20.119436264038086,592.0277099609375,1080.8043212890625,580.6080322265625,16.200000762939453,1590.8338623046875,906.9379272460938,4325.95654296875,139.17869567871094,1490.3126220703125,854.972412109375,318.4426574707031,1884.4312744140625,1230.31396484375,4516.3583984375,8453.2060546875,1546.031005859375,651.040771484375,750.8690185546875,145.54835510253906,1497.1025390625,1581.883544921875
2022-12-12,936.0006103515625,6053.90234375,19.912019729614258,581.265380859375,1069.9757080078125,573.1782836914062,16.25,1603.2205810546875,907.3280029296875,4411.8291015625,138.41134643554688,1469.324951171875,857.5602416992188,320.12164306640625,1862.1739501953125,1228.95263671875,4571.95263671875,8498.744140625,1563.86328125,652.3648681640625,751.2161254882812,144.44268798828125,1506.3509521484375,1601.968994140625
2022-12-13,941.9337768554688,6095.96435546875,20.87996482849121,586.89111328125,1082.75537109375,569.8815307617188,17.399999618530273,1607.658447265625,909.91259765625,4424.29833984375,140.9052276611328,1493.0191650390625,855.2213134765625,322.3602294921875,1864.9188232421875,1247.76611328125,4620.17041015625,8460.4189453125,1624.52294921875,643.9295654296875,748.9349365234375,144.94528198242188,1493.756591796875,1597.2459716796875
